Model_NM	QcParam_NO	Material_CD	Parameter_MAX	Parameter_MIN	Parameter_VAL	QcLine_MAX	QcLine_MIN	AimLine_VAL	AimRate_VAL	DS_FG	Del_FG	UpdUser_CD	LastUpd_DT	Equipment_NO	InnerUpperLimit	InnerLowerLimit	ParamGetUpperCond	ParamGetLowerCond	ResinGroup_CD
AI	528	NFSL757G120655          	200.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	529	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	530	NFSL757G120655          	200.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	535	NFSL757G120655          	50.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	536	NFSL757G120655          	30.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	542	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	543	NFSL757G120655          	215.0000	185.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	544	NFSL757G120655          	215.0000	185.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	551	NFSL757G120655          	1.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
AI	552	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	560	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
AI	561	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	562	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	570	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
AI	571	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:57.000		NULL	NULL	NULL	NULL	
AI	581	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	582	NFSL757G120655          	3.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1287	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1288	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1296	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1297	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1298	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1306	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1307	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1308	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1319	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1320	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1327	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	1328	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
